"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",1.96908782360383,-0.0616091560524215,0.491816149074201,-0.125268672385799,0.900310852602497,0.9997880278374
"100",20.7444534877335,-0.427176846730055,0.307863904795727,-1.3875509277825,0.165273833075046,0.9997880278374
"1000",7.52958453828498,-0.0396809889460272,0.931783510735957,-0.0425860604838196,0.96603150753231,0.9997880278374
"10000",17.7176454029588,-0.257560387001631,0.329036797204399,-0.78277076968274,0.433761735431894,0.9997880278374
"10001",9.41257895504653,0.0375852114342477,0.224838756737099,0.167165180859791,0.867240080524794,0.9997880278374
"10003",0.332017053078865,1.07207927466124,1.64352298166904,0.652305618247278,0.514204036413383,0.9997880278374
"100033413",27.0834443433103,-0.7402831795062,0.547123878608,-1.35304491076068,0.176041283231036,0.9997880278374
"100033414",2.25320526086484,-0.558077487072425,0.639646329063611,-0.872478214467992,0.382947547923792,0.9997880278374
"100033415",8.31379822337202,-1.12962340198245,0.554998884321844,-2.0353615725962,0.041814504914179,0.9997880278374
"100033417",2.51751256613334,1.34445667405883,0.682487760160237,1.96993521721645,0.0488457956321391,0.9997880278374
"100033420",15.1534384064118,-1.15022615079536,0.660824574747546,-1.74059227630083,0.0817550724701051,0.9997880278374
"100033422",0.358154979334592,-0.316163580744319,1.07217512126263,-0.294880541876401,0.768085136701874,0.9997880278374
"100033423",1.18773920776906,-1.32710491350888,0.865640424947759,-1.53309027081189,0.125253614539538,0.9997880278374
"100033424",2.95366855642989,-0.687775099973543,0.548267723728698,-1.25445119274225,0.209678055295769,0.9997880278374
"100033425",6.00797106994516,-0.784338087797162,0.564367193534039,-1.38976555828073,0.164600079903368,0.9997880278374
"100033427",11.1924977083668,-1.63650029798428,0.841677795427644,-1.94433108117436,0.0518555388843952,0.9997880278374
"100033428",19.2740427368711,-2.08258731395356,0.911152087797537,-2.28566376771155,0.0222739364797288,0.9997880278374
"100033430",29.851841134483,0.185861604164854,0.579140638970578,0.320926544708074,0.748266057312592,0.9997880278374
"100033431",43.6926391060546,-0.188696775557041,0.537394062227042,-0.351132974516043,0.72548859089202,0.9997880278374
"100033434",16.2763867600625,-1.43340372947508,0.91957633104336,-1.55876535866113,0.11905192603218,0.9997880278374
"100033435",28.5151868903739,-1.26154517758509,0.754197438840356,-1.67269883536706,0.094386598637507,0.9997880278374
"100033436",5.73920022259908,0.0373722737771776,0.751594320386648,0.0497239970599457,0.960342333221569,0.9997880278374
"100033438",1.02849343626832,-0.406319380635152,0.722748506365708,-0.562186399634779,0.573989026714175,0.9997880278374
"100033441",0.745902973207682,-1.92151153402927,1.61541854724433,-1.18948215452094,0.234249989266414,0.9997880278374
"100033442",0.756204294419149,-1.93793053203399,1.74297447210909,-1.11185250446553,0.266201572703315,0.9997880278374
"100033443",0.669512808834278,-1.29208198770746,1.98587013116805,-0.650637706579277,0.515280383803469,0.9997880278374
"100033444",0.242188939321087,0.0445078999228819,2.49295321085198,0.0178534838636908,0.985755737591686,0.9997880278374
"100033445",0.377879697841097,-1.4139067442956,2.60407673949423,-0.54295893928618,0.58715807373144,0.9997880278374
"100033446",0.265348675479048,-1.05038183810245,3.65468005316906,-0.28740733055186,0.773800448906467,0.9997880278374
"100033447",0.286493254814572,-0.135827294636542,1.90577856752101,-0.0712712887800088,0.943181845338403,0.9997880278374
"100033448",0.240812637028563,-0.457855432336361,3.00851750600444,-0.152186394602181,0.879039924503737,0.9997880278374
"100033450",1.08855298776417,-2.91716030572328,1.83329387267478,-1.59121259782924,0.111561738678142,0.9997880278374
"100033451",0.287144776208986,-1.14055273049487,3.0059815953039,-0.379427715817256,0.70437027231227,0.9997880278374
"100033799",0.413754197126527,-1.55663109106733,2.30680196659537,-0.674800487258458,0.49980253078021,0.9997880278374
"100033801",0.625602390317908,-2.11852803736212,2.43134109246059,-0.871341353104062,0.383567797446942,0.9997880278374
"100033802",0.266954353342077,-0.548023625107684,2.53291027211053,-0.216361247037403,0.828706171211163,0.9997880278374
"100033805",0.290620004949083,-1.14055266952239,3.017275168928,-0.378007508651462,0.705425016026837,0.9997880278374
"100033806",0.455548415870641,-1.68114339772907,2.31937413419268,-0.724826311091997,0.468558592206281,0.9997880278374
"100033807",0.239700682527748,-0.960219626455316,2.51471980912235,-0.381839608123354,0.7025803377238,0.9997880278374
"100033809",0.358068572428444,-1.40423868185872,2.25100884211131,-0.62382637313038,0.532741617555643,0.9997880278374
"100033813",0.423321289868704,-0.591345018004457,2.26723140491064,-0.260822524213299,0.794229373685987,0.9997880278374
"100033814",0.388556600934242,-0.996637511239055,1.98287983716579,-0.502621234307164,0.615230597106923,0.9997880278374
"100033815",0.603512229780974,-2.06629403012103,2.75183736524591,-0.750877961109587,0.452726104966381,0.9997880278374
"100033818",0.361943805743998,-1.40883961706618,1.98877047011784,-0.708397292817158,0.478698573134186,0.9997880278374
"100033820",4.42554445849689,0.403355958090069,0.477649449928699,0.844460216902334,0.39841228524165,0.9997880278374
"100033821",1.81102575223426,-0.900195502210935,0.833482929750374,-1.08004071838705,0.280124048393547,0.9997880278374
"100036564",0.266271435193449,-1.05038519995752,3.01680235220213,-0.348178328351801,0.727706262218039,0.9997880278374
"10004",0.572711391923718,-0.0392879615598959,0.92584767647357,-0.0424345846063345,0.966152258640542,0.9997880278374
"100049587",2.02989687175742,0.0108937843201372,0.719568636245772,0.0151393262176819,0.98792102676688,0.9997880278374
"10005",2.93316855919705,-0.109242836252374,0.385579713618813,-0.283321016106081,0.776930768490486,0.9997880278374
"10006",22.5835123310971,0.158478516507505,0.211491637419931,0.749337034980892,0.45365409117539,0.9997880278374
"10007",5.66638925697669,-0.11556356068501,0.297368119761284,-0.388621217290475,0.697556369048612,0.9997880278374
"10008",0.474224037233268,-0.17615797616784,0.95040225618448,-0.185350965890012,0.852953765499543,0.9997880278374
"10009",6.93384064559698,0.232498625231301,0.268092487350683,0.867232899843169,0.385814413355811,0.9997880278374
"100093631",0.909592986754995,-0.181431320296229,0.706537397442561,-0.256789408392184,0.797341346855742,0.9997880278374
"1001",41.3571489917721,1.62215047898271,0.948137409247401,1.71088121105813,0.0871030437597674,0.9997880278374
"10010",19.4767366034823,-0.269323414074624,0.23823122884548,-1.13051263421602,0.258260277796689,0.9997880278374
"100101266",1.08036975650453,0.302741753671312,0.752988452626183,0.402053647191329,0.687644545060101,0.9997880278374
"100101267",23.5439665095178,-0.237901356737249,0.241274540208044,-0.986019314479324,0.324123635020528,0.9997880278374
"100101467",2.32675571822214,-0.110244107844712,0.431457539876824,-0.255515543606413,0.79832493989703,0.9997880278374
"100101490",6.03969243857415,0.08718224877022,0.261827162668626,0.332976334012219,0.739152147502923,0.9997880278374
"10011",7.27371502977233,-0.36165663067492,0.269137579294812,-1.34376117828853,0.179025626977747,0.9997880278374
"100113391",1.4632168104633,-0.739122870120806,0.640927396006559,-1.1532084206824,0.248824848057442,0.9997880278374
"100113393",24.9230238607736,-0.0748446080405446,0.391384325393749,-0.191230468837115,0.848345033400317,0.9997880278374
"100113407",0.691567438180054,-0.395174589597238,0.841291154915713,-0.469723932420078,0.638552267021105,0.9997880278374
"100124537",4.23663968202136,-0.488543654591618,0.375777206039641,-1.30008858105161,0.193570610899058,0.9997880278374
"100124539",0.997496175728071,-0.939174149779009,0.89920164911082,-1.0444533222417,0.296275704462791,0.9997880278374
"100125556",0.959970746202307,0.593357102204024,0.585528765173637,1.01336968821346,0.31088361220991,0.9997880278374
"100126296",0.468162999756281,-0.257996459153407,1.01289427071185,-0.254712131970192,0.798945445287953,0.9997880278374
"100126297",0.49267496600464,0.888504745414605,1.57189878064285,0.565242976428315,0.571908508816757,0.9997880278374
"100126299",11.5083910009687,-0.466123160706824,0.88029112502431,-0.529510235257627,0.596451546106604,0.9997880278374
"100126308",0.300670874801502,-1.14055827988637,1.68662130072073,-0.676238512699314,0.498889224278089,0.9997880278374
"100126309",0.949063601759225,-0.582817656958182,0.761785290382401,-0.765068142318184,0.444230968959155,0.9997880278374
"100126310",1.28912659477327,0.144921596483775,1.19223787718677,0.121554263001386,0.903252037628707,0.9997880278374
"100126313",0.852961545162276,0.504279235822851,0.695380147982769,0.725184975852008,0.468338558622255,0.9997880278374
"100126316",2.62494307042045,0.0374963683243424,1.09938846005405,0.0341065689578903,0.972792170263255,0.9997880278374
"100126317",0.269796619768733,-0.548024914884621,1.28982154772921,-0.424884291822728,0.670921026193907,0.9997880278374
"100126320",24.9749707574044,1.15348057220983,0.654282804043297,1.76296941487935,0.0779056482618668,0.9997880278374
